Key,,Английский,Русский,Украинский,Китайский,Японский,Корейский,Испанский,German
,Экран Логина,,,,,,,,
key,place,en,rus,ua,cn,jp,kr,es,dt
email_login,Email or login,Email or login,Email или логин,Електронна пошта або логін,电子邮箱登录,ログインメールアドレス,메일이나 아이디,Correo electrónico o Login,
password,Password,Password,Пароль,Пароль,密码,パスワード,비밀번호,Contraseña,Passwort
forgot_password,Forgot password? ,Forgot password? ,Забыли пароль?,Забув пароль?,忘记密码？,パスワードを忘れた方はこちら,비밀번호을 잊으셨나요?,¿Has olvidado tu contraseña?,Passwort vergessen?
login,Log in,Log in,Войти,Увійти,登录,ログイン,로그인,Login,Anmelden
sign_in_proposal,or sign in with,or sign in with,или войти с помощью,або увійти за допомогою,使用其他方式登录,...でサインイン,더욱 간편한 로그인,Entra usando,
dont_have_acc,Don't have your account?,Don't have your account?,Нет аккаунта?,Немає облікового запису? ,还没有账户,ご入会はまだですか？ 今すぐ無料でご登録ください！,새 계정 만들기,¿No tienes una cuenta?,
music_lover_register,Register as a Music Lover,Register as a Music Lover,Зарегистрироваться как любитель музыки,Зареєструватист як любитель музики, ,リスナー登録,뮤직 러버으로 가입,Registrate como fan de música,
artist_register,Register as an Artist,Register as an Artist,Зарегистрироваться как артист,Зареєструватись як артист,注册为音乐家,アーティスト登録,아티스트로 가입,Registrate como artista,
,Попапы по клику на (i),,,,,,,,
